Time,Offset
0001-01-01 00:00:00,+03:49
1924-05-01 20:11:20,+04:00
1930-06-20 20:00:00,+05:00
1981-03-31 19:00:00,+06:00
1981-09-30 18:00:00,+06:00
1982-03-31 18:00:00,+06:00
1982-09-30 18:00:00,+05:00
1983-03-31 19:00:00,+06:00
1983-09-30 18:00:00,+05:00
1984-03-31 19:00:00,+06:00
1984-09-29 21:00:00,+05:00
1985-03-30 21:00:00,+06:00
1985-09-28 21:00:00,+05:00
1986-03-29 21:00:00,+06:00
1986-09-27 21:00:00,+05:00
1987-03-28 21:00:00,+06:00
1987-09-26 21:00:00,+05:00
1988-03-26 21:00:00,+06:00
1988-09-24 21:00:00,+05:00
1989-03-25 21:00:00,+06:00
1989-09-23 21:00:00,+05:00
1990-03-24 21:00:00,+06:00
1990-09-29 21:00:00,+05:00
1991-03-30 21:00:00,+05:00
1991-09-28 22:00:00,+04:00
1992-01-18 22:00:00,+05:00
1992-03-28 21:00:00,+06:00
1992-09-26 21:00:00,+05:00
1993-03-27 21:00:00,+06:00
1993-09-25 21:00:00,+05:00
1994-03-26 21:00:00,+06:00
1994-09-24 21:00:00,+05:00
1995-03-25 21:00:00,+06:00
1995-09-23 21:00:00,+05:00
1996-03-30 21:00:00,+06:00
1996-10-26 21:00:00,+05:00
1997-03-29 21:00:00,+06:00
1997-10-25 21:00:00,+05:00
1998-03-28 21:00:00,+06:00
1998-10-24 21:00:00,+05:00
1999-03-27 21:00:00,+06:00
1999-10-30 21:00:00,+05:00
2000-03-25 21:00:00,+06:00
2000-10-28 21:00:00,+05:00
2001-03-24 21:00:00,+06:00
2001-10-27 21:00:00,+05:00
2002-03-30 21:00:00,+06:00
2002-10-26 21:00:00,+05:00
2003-03-29 21:00:00,+06:00
2003-10-25 21:00:00,+05:00
2004-03-27 21:00:00,+06:00
2004-10-30 21:00:00,+05:00
