Time,Offset
1914-01-01T03:06:28,-03:00
1931-10-03T14:00:00,-02:00
1932-04-01T02:00:00,-03:00
1932-10-03T03:00:00,-02:00
1933-04-01T02:00:00,-03:00
1949-12-01T03:00:00,-02:00
1950-04-16T03:00:00,-03:00
1950-12-01T03:00:00,-02:00
1951-04-01T02:00:00,-03:00
1951-12-01T03:00:00,-02:00
1952-04-01T02:00:00,-03:00
1952-12-01T03:00:00,-02:00
1953-03-01T02:00:00,-03:00
1963-10-23T03:00:00,-02:00
1964-03-01T02:00:00,-03:00
1965-01-31T03:00:00,-02:00
1965-03-31T02:00:00,-03:00
1965-12-01T03:00:00,-02:00
1966-03-01T02:00:00,-03:00
1966-11-01T03:00:00,-02:00
1967-03-01T02:00:00,-03:00
1967-11-01T03:00:00,-02:00
1968-03-01T02:00:00,-03:00
1985-11-02T03:00:00,-02:00
1986-03-15T02:00:00,-03:00
1986-10-25T03:00:00,-02:00
1987-02-14T02:00:00,-03:00
1987-10-25T03:00:00,-02:00
1988-02-07T02:00:00,-03:00
1988-10-16T03:00:00,-02:00
1989-01-29T02:00:00,-03:00
1989-10-15T03:00:00,-02:00
1990-02-11T02:00:00,-03:00
1990-10-21T03:00:00,-02:00
1991-02-17T02:00:00,-03:00
1991-10-20T03:00:00,-02:00
1992-02-09T02:00:00,-03:00
1992-10-25T03:00:00,-02:00
1993-01-31T02:00:00,-03:00
1993-10-17T03:00:00,-02:00
1994-02-20T02:00:00,-03:00
1994-10-16T03:00:00,-02:00
1995-02-19T02:00:00,-03:00
1995-10-15T03:00:00,-02:00
1996-02-11T02:00:00,-03:00
1996-10-06T03:00:00,-02:00
1997-02-16T02:00:00,-03:00
1997-10-06T03:00:00,-02:00
1998-03-01T02:00:00,-03:00
1998-10-11T03:00:00,-02:00
1999-02-21T02:00:00,-03:00
1999-10-03T03:00:00,-02:00
2000-02-27T02:00:00,-03:00
2000-10-08T03:00:00,-02:00
2001-02-18T02:00:00,-03:00
2001-10-14T03:00:00,-02:00
2002-02-17T02:00:00,-03:00
2002-11-03T03:00:00,-02:00
2003-02-16T02:00:00,-03:00
2003-10-19T03:00:00,-02:00
2004-02-15T02:00:00,-03:00
2004-11-02T03:00:00,-02:00
2005-02-20T02:00:00,-03:00
2005-10-16T03:00:00,-02:00
2006-02-19T02:00:00,-03:00
2006-11-05T03:00:00,-02:00
2007-02-25T02:00:00,-03:00
2007-10-14T03:00:00,-02:00
2008-02-17T02:00:00,-03:00
2008-10-19T03:00:00,-02:00
2009-02-15T02:00:00,-03:00
2009-10-18T03:00:00,-02:00
2010-02-21T02:00:00,-03:00
2010-10-17T03:00:00,-02:00
2011-02-20T02:00:00,-03:00
2011-10-16T03:00:00,-02:00
2012-02-26T02:00:00,-03:00
2012-10-21T03:00:00,-02:00
2013-02-17T02:00:00,-03:00
2013-10-20T03:00:00,-02:00
2014-02-16T02:00:00,-03:00
2014-10-19T03:00:00,-02:00
2015-02-22T02:00:00,-03:00
2015-10-18T03:00:00,-02:00
2016-02-21T02:00:00,-03:00
2016-10-16T03:00:00,-02:00
2017-02-19T02:00:00,-03:00
2017-10-15T03:00:00,-02:00
2018-02-18T02:00:00,-03:00
2018-11-04T03:00:00,-02:00
2019-02-17T02:00:00,-03:00
