Time,Offset
1914-01-01 02:34:04,-03:00
1931-10-03 14:00:00,-02:00
1932-04-01 02:00:00,-03:00
1932-10-03 03:00:00,-02:00
1933-04-01 02:00:00,-03:00
1949-12-01 03:00:00,-02:00
1950-04-16 03:00:00,-03:00
1950-12-01 03:00:00,-02:00
1951-04-01 02:00:00,-03:00
1951-12-01 03:00:00,-02:00
1952-04-01 02:00:00,-03:00
1952-12-01 03:00:00,-02:00
1953-03-01 02:00:00,-03:00
1963-12-09 03:00:00,-02:00
1964-03-01 02:00:00,-03:00
1965-01-31 03:00:00,-02:00
1965-03-31 02:00:00,-03:00
1965-12-01 03:00:00,-02:00
1966-03-01 02:00:00,-03:00
1966-11-01 03:00:00,-02:00
1967-03-01 02:00:00,-03:00
1967-11-01 03:00:00,-02:00
1968-03-01 02:00:00,-03:00
1985-11-02 03:00:00,-02:00
1986-03-15 02:00:00,-03:00
1986-10-25 03:00:00,-02:00
1987-02-14 02:00:00,-03:00
1987-10-25 03:00:00,-02:00
1988-02-07 02:00:00,-03:00
1988-10-16 03:00:00,-02:00
1989-01-29 02:00:00,-03:00
1989-10-15 03:00:00,-02:00
1990-02-11 02:00:00,-03:00
1990-10-21 03:00:00,-02:00
1991-02-17 02:00:00,-03:00
1991-10-20 03:00:00,-02:00
1992-02-09 02:00:00,-03:00
1992-10-25 03:00:00,-02:00
1993-01-31 02:00:00,-03:00
1993-10-17 03:00:00,-02:00
1994-02-20 02:00:00,-03:00
1994-10-16 03:00:00,-02:00
1995-02-19 02:00:00,-03:00
1995-10-15 03:00:00,-02:00
1996-02-11 02:00:00,-03:00
1996-10-06 03:00:00,-02:00
1997-02-16 02:00:00,-03:00
1997-10-06 03:00:00,-02:00
1998-03-01 02:00:00,-03:00
1998-10-11 03:00:00,-02:00
1999-02-21 02:00:00,-03:00
1999-10-03 03:00:00,-02:00
2000-02-27 02:00:00,-03:00
2000-10-08 03:00:00,-02:00
2001-02-18 02:00:00,-03:00
2001-10-14 03:00:00,-02:00
2002-02-17 02:00:00,-03:00
2002-11-03 03:00:00,-02:00
2003-02-16 02:00:00,-03:00
2011-10-16 03:00:00,-02:00
2012-02-26 02:00:00,-03:00
