Time,Offset
0001-01-01T00:00:00,+07:21
1926-02-28T16:38:40,+07:30
1932-12-31T16:30:00,+08:00
1935-09-13T16:00:00,+08:20
1935-12-13T15:40:00,+08:00
1936-09-13T16:00:00,+08:20
1936-12-13T15:40:00,+08:00
1937-09-13T16:00:00,+08:20
1937-12-13T15:40:00,+08:00
1938-09-13T16:00:00,+08:20
1938-12-13T15:40:00,+08:00
1939-09-13T16:00:00,+08:20
1939-12-13T15:40:00,+08:00
1940-09-13T16:00:00,+08:20
1940-12-13T15:40:00,+08:00
1941-09-13T16:00:00,+08:20
1941-12-13T15:40:00,+08:00
1942-02-15T16:00:00,+09:00
1945-09-11T15:00:00,+08:00
