Time,Offset
1901-12-13T20:45:52,+00:00
1916-05-21T02:00:00,+01:00
1916-10-01T02:00:00,+00:00
1917-04-08T02:00:00,+01:00
1917-09-17T02:00:00,+00:00
1918-03-24T02:00:00,+01:00
1918-09-30T02:00:00,+00:00
1919-03-30T02:00:00,+01:00
1919-09-29T02:00:00,+00:00
1920-03-28T02:00:00,+01:00
1920-10-25T02:00:00,+00:00
1921-04-03T02:00:00,+01:00
1921-10-03T02:00:00,+00:00
1922-03-26T02:00:00,+01:00
1922-10-08T02:00:00,+00:00
1923-04-22T02:00:00,+01:00
1923-09-16T02:00:00,+00:00
1924-04-13T02:00:00,+01:00
1924-09-21T02:00:00,+00:00
1925-04-19T02:00:00,+01:00
1925-10-04T02:00:00,+00:00
1926-04-18T02:00:00,+01:00
1926-10-03T02:00:00,+00:00
1927-04-10T02:00:00,+01:00
1927-10-02T02:00:00,+00:00
1928-04-22T02:00:00,+01:00
1928-10-07T02:00:00,+00:00
1929-04-21T02:00:00,+01:00
1929-10-06T02:00:00,+00:00
1930-04-13T02:00:00,+01:00
1930-10-05T02:00:00,+00:00
1931-04-19T02:00:00,+01:00
1931-10-04T02:00:00,+00:00
1932-04-17T02:00:00,+01:00
1932-10-02T02:00:00,+00:00
1933-04-09T02:00:00,+01:00
1933-10-08T02:00:00,+00:00
1934-04-22T02:00:00,+01:00
1934-10-07T02:00:00,+00:00
1935-04-14T02:00:00,+01:00
1935-10-06T02:00:00,+00:00
1936-04-19T02:00:00,+01:00
1936-10-04T02:00:00,+00:00
1937-04-18T02:00:00,+01:00
1937-10-03T02:00:00,+00:00
1938-04-10T02:00:00,+01:00
1938-10-02T02:00:00,+00:00
1939-04-16T02:00:00,+01:00
1939-11-19T02:00:00,+00:00
1940-02-25T02:00:00,+01:00
1941-05-04T01:00:00,+02:00
1941-08-10T01:00:00,+01:00
1942-04-05T01:00:00,+02:00
1942-08-09T01:00:00,+01:00
1943-04-04T01:00:00,+02:00
1943-08-15T01:00:00,+01:00
1944-04-02T01:00:00,+02:00
