Time,Offset
0001-01-01T00:00:00,+03:26
1915-12-31T20:34:16,+03:26
1935-06-12T20:34:16,+03:30
1977-03-21T19:30:00,+04:30
1977-10-20T19:30:00,+04:00
1978-03-24T20:00:00,+05:00
1978-08-04T20:00:00,+04:00
1978-12-31T20:00:00,+03:30
1979-05-26T20:30:00,+04:30
1979-09-18T19:30:00,+03:30
1980-03-20T20:30:00,+04:30
1980-09-22T19:30:00,+03:30
1991-05-02T20:30:00,+04:30
1991-09-21T19:30:00,+03:30
1992-03-21T20:30:00,+04:30
1992-09-21T19:30:00,+03:30
1993-03-21T20:30:00,+04:30
1993-09-21T19:30:00,+03:30
1994-03-21T20:30:00,+04:30
1994-09-21T19:30:00,+03:30
1995-03-21T20:30:00,+04:30
1995-09-21T19:30:00,+03:30
1996-03-20T20:30:00,+04:30
1996-09-20T19:30:00,+03:30
1997-03-21T20:30:00,+04:30
1997-09-21T19:30:00,+03:30
1998-03-21T20:30:00,+04:30
1998-09-21T19:30:00,+03:30
1999-03-21T20:30:00,+04:30
1999-09-21T19:30:00,+03:30
2000-03-20T20:30:00,+04:30
2000-09-20T19:30:00,+03:30
2001-03-21T20:30:00,+04:30
2001-09-21T19:30:00,+03:30
2002-03-21T20:30:00,+04:30
2002-09-21T19:30:00,+03:30
2003-03-21T20:30:00,+04:30
2003-09-21T19:30:00,+03:30
2004-03-20T20:30:00,+04:30
2004-09-20T19:30:00,+03:30
2005-03-21T20:30:00,+04:30
2005-09-21T19:30:00,+03:30
2008-03-20T20:30:00,+04:30
2008-09-20T19:30:00,+03:30
2009-03-21T20:30:00,+04:30
2009-09-21T19:30:00,+03:30
2010-03-21T20:30:00,+04:30
2010-09-21T19:30:00,+03:30
2011-03-21T20:30:00,+04:30
2011-09-21T19:30:00,+03:30
2012-03-20T20:30:00,+04:30
2012-09-20T19:30:00,+03:30
2013-03-21T20:30:00,+04:30
2013-09-21T19:30:00,+03:30
2014-03-21T20:30:00,+04:30
2014-09-21T19:30:00,+03:30
2015-03-21T20:30:00,+04:30
2015-09-21T19:30:00,+03:30
2016-03-20T20:30:00,+04:30
2016-09-20T19:30:00,+03:30
2017-03-21T20:30:00,+04:30
2017-09-21T19:30:00,+03:30
2018-03-21T20:30:00,+04:30
2018-09-21T19:30:00,+03:30
2019-03-21T20:30:00,+04:30
2019-09-21T19:30:00,+03:30
2020-03-20T20:30:00,+04:30
2020-09-20T19:30:00,+03:30
2021-03-21T20:30:00,+04:30
2021-09-21T19:30:00,+03:30
2022-03-21T20:30:00,+04:30
2022-09-21T19:30:00,+03:30
