Time,Offset
1922-01-01T06:00:00,-06:00
1988-04-03T08:00:00,-05:00
1988-10-30T07:00:00,-06:00
1996-04-07T08:00:00,-05:00
1996-10-27T07:00:00,-06:00
1997-04-06T08:00:00,-05:00
1997-10-26T07:00:00,-06:00
1998-04-05T08:00:00,-05:00
1998-10-25T07:00:00,-06:00
1999-04-04T08:00:00,-05:00
1999-10-31T07:00:00,-06:00
2000-04-02T08:00:00,-05:00
2000-10-29T07:00:00,-06:00
2001-05-06T08:00:00,-05:00
2001-09-30T07:00:00,-06:00
2002-04-07T08:00:00,-05:00
2002-10-27T07:00:00,-06:00
2003-04-06T08:00:00,-05:00
2003-10-26T07:00:00,-06:00
2004-04-04T08:00:00,-05:00
2004-10-31T07:00:00,-06:00
2005-04-03T08:00:00,-05:00
2005-10-30T07:00:00,-06:00
2006-04-02T08:00:00,-05:00
2006-10-29T07:00:00,-06:00
2007-04-01T08:00:00,-05:00
2007-10-28T07:00:00,-06:00
2008-04-06T08:00:00,-05:00
2008-10-26T07:00:00,-06:00
2009-04-05T08:00:00,-05:00
2009-10-25T07:00:00,-06:00
2010-04-04T08:00:00,-05:00
2010-10-31T07:00:00,-06:00
2011-04-03T08:00:00,-05:00
2011-10-30T07:00:00,-06:00
2012-04-01T08:00:00,-05:00
2012-10-28T07:00:00,-06:00
2013-04-07T08:00:00,-05:00
2013-10-27T07:00:00,-06:00
2014-04-06T08:00:00,-05:00
2014-10-26T07:00:00,-06:00
2015-04-05T08:00:00,-05:00
2015-10-25T07:00:00,-06:00
2016-04-03T08:00:00,-05:00
2016-10-30T07:00:00,-06:00
2017-04-02T08:00:00,-05:00
2017-10-29T07:00:00,-06:00
2018-04-01T08:00:00,-05:00
2018-10-28T07:00:00,-06:00
2019-04-07T08:00:00,-05:00
2019-10-27T07:00:00,-06:00
2020-04-05T08:00:00,-05:00
2020-10-25T07:00:00,-06:00
2021-04-04T08:00:00,-05:00
2021-10-31T07:00:00,-06:00
2022-04-03T08:00:00,-05:00
2022-10-30T07:00:00,-06:00
