Time,Offset
1922-01-01 07:00:00,-07:00
1927-06-11 06:00:00,-06:00
1930-11-15 06:00:00,-07:00
1931-05-02 06:00:00,-06:00
1931-10-01 06:00:00,-07:00
1932-04-01 07:00:00,-06:00
1942-04-24 06:00:00,-07:00
1949-01-14 07:00:00,-08:00
1970-01-01 08:00:00,-07:00
1996-04-07 09:00:00,-06:00
1996-10-27 08:00:00,-07:00
1997-04-06 09:00:00,-06:00
1997-10-26 08:00:00,-07:00
1998-04-05 09:00:00,-06:00
1998-10-25 08:00:00,-07:00
1999-04-04 09:00:00,-06:00
1999-10-31 08:00:00,-07:00
2000-04-02 09:00:00,-06:00
2000-10-29 08:00:00,-07:00
2001-05-06 09:00:00,-06:00
2001-09-30 08:00:00,-07:00
2002-04-07 09:00:00,-06:00
2002-10-27 08:00:00,-07:00
2003-04-06 09:00:00,-06:00
2003-10-26 08:00:00,-07:00
2004-04-04 09:00:00,-06:00
2004-10-31 08:00:00,-07:00
2005-04-03 09:00:00,-06:00
2005-10-30 08:00:00,-07:00
2006-04-02 09:00:00,-06:00
2006-10-29 08:00:00,-07:00
2007-04-01 09:00:00,-06:00
2007-10-28 08:00:00,-07:00
2008-04-06 09:00:00,-06:00
2008-10-26 08:00:00,-07:00
2009-04-05 09:00:00,-06:00
2009-10-25 08:00:00,-07:00
2010-04-04 09:00:00,-06:00
2010-10-31 08:00:00,-07:00
2011-04-03 09:00:00,-06:00
2011-10-30 08:00:00,-07:00
2012-04-01 09:00:00,-06:00
2012-10-28 08:00:00,-07:00
2013-04-07 09:00:00,-06:00
2013-10-27 08:00:00,-07:00
2014-04-06 09:00:00,-06:00
2014-10-26 08:00:00,-07:00
2015-04-05 09:00:00,-06:00
2015-10-25 08:00:00,-07:00
2016-04-03 09:00:00,-06:00
2016-10-30 08:00:00,-07:00
2017-04-02 09:00:00,-06:00
2017-10-29 08:00:00,-07:00
2018-04-01 09:00:00,-06:00
2018-10-28 08:00:00,-07:00
2019-04-07 09:00:00,-06:00
2019-10-27 08:00:00,-07:00
2020-04-05 09:00:00,-06:00
2020-10-25 08:00:00,-07:00
2021-04-04 09:00:00,-06:00
2021-10-31 08:00:00,-07:00
2022-04-03 09:00:00,-06:00
2022-10-30 08:00:00,-07:00
